Package,Type,Title,Version,Description,License,Encoding,URL,Repository,Author,Maintainer,_published,_filesize,organization
magick,Package,Advanced Graphics and Image-Processing in R,2.7.4,"Bindings to 'ImageMagick': the most comprehensive open-source image
processing library available. Supports many common formats (png, jpeg, tiff,
pdf, etc) and manipulations (rotate, scale, crop, trim, flip, blur, etc).
All operations are vectorized via the Magick++ STL meaning they operate either
on a single frame or a series of frames for working with layers, collages,
or animation. In RStudio images are automatically previewed when printed to
the console, resulting in an interactive editing environment. The latest
version of the package includes a native graphics device for creating
in-memory graphics or drawing onto images using pixel coordinates.",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/magick/ (website)
https://github.com/ropensci/magick (devel)",https://ropensci.r-universe.dev,"Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>)",Jeroen Ooms <jeroen@berkeley.edu>,2023-04-06T13:30:12.194Z,4627436,rOpenSci
rdflib,NA,Tools to Manipulate and Query Semantic Data,0.2.6,"The Resource Description Framework, or 'RDF' is a widely used
data representation model that forms the cornerstone of the
Semantic Web. 'RDF' represents data as a graph rather than
the familiar data table or rectangle of relational databases.
The 'rdflib' package provides a friendly and concise user interface
for performing common tasks on 'RDF' data, such as reading, writing
and converting between the various serializations of 'RDF' data,
including 'rdfxml', 'turtle', 'nquads', 'ntriples', and 'json-ld';
creating new 'RDF' graphs, and performing graph queries using 'SPARQL'.
This package wraps the low level 'redland' R package which
provides direct bindings to the 'redland' C library.  Additionally,
the package supports the newer and more developer friendly
'JSON-LD' format through the 'jsonld' package. The package
interface takes inspiration from the Python 'rdflib' library.",MIT + file LICENSE,UTF-8,https://github.com/ropensci/rdflib,https://ropensci.r-universe.dev,"Carl Boettiger [aut, cre, cph]
(<https://orcid.org/0000-0002-1642-628X>),
Bryce Mecum [rev] (<https://orcid.org/0000-0002-0381-3766>),
Anna Krystalli [rev] (<https://orcid.org/0000-0002-2378-4915>),
Viktor Senderov [ctb] (<https://orcid.org/0000-0003-3340-5963>)",Carl Boettiger <cboettig@gmail.com>,2023-04-08T06:24:07.939Z,280622,rOpenSci
tsbox,Package,Class-Agnostic Time Series,0.4,"Time series toolkit with identical behavior for all
time series classes: 'ts','xts', 'data.frame', 'data.table', 'tibble', 'zoo',
'timeSeries', 'tsibble', 'tis' or 'irts'. Also converts reliably between these classes.",GPL-3,UTF-8,"https://docs.ropensci.org/tsbox/,
https://github.com/ropensci/tsbox",https://ropensci.r-universe.dev,"Christoph Sax [aut, cre] (<https://orcid.org/0000-0002-7192-7044>),
Cathy Chamberlin [rev],
Nunes Matt [rev]",Christoph Sax <christoph.sax@gmail.com>,2023-04-08T06:23:35.898Z,614887,rOpenSci
hoardr,Package,Manage Cached Files,0.5.3,"Suite of tools for managing cached files, targeting
use in other R packages. Uses 'rappdirs' for cross-platform paths.
Provides utilities to manage cache directories, including targeting
files by path or by key; cached directories can be compressed and
uncompressed easily to save disk space.",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/hoardr/,
https://github.com/ropensci/hoardr",https://ropensci.r-universe.dev,"Scott Chamberlain [aut] (<https://orcid.org/0000-0003-2542-2202>),
Tamás Stirling [ctb, cre]",Tamás Stirling <stirling.tamas@gmail.com>,2023-04-08T06:18:30.654Z,104651,rOpenSci
clifro,Package,Easily Download and Visualise Climate Data from CliFlo,3.2-5.9003,"CliFlo is a web portal to the New Zealand National Climate
Database and provides public access (via subscription) to around 6,500
various climate stations (see <https://cliflo.niwa.co.nz/> for more
information). Collating and manipulating data from CliFlo
(hence clifro) and importing into R for further analysis, exploration and
visualisation is now straightforward and coherent. The user is required to
have an internet connection, and a current CliFlo subscription (free) if
data from stations, other than the public Reefton electronic weather
station, is sought.",GPL-2,UTF-8,"https://docs.ropensci.org/clifro/,
https://github.com/ropensci/clifro",https://ropensci.r-universe.dev,"Blake Seers [aut, cre] (<https://orcid.org/0000-0001-6841-4312>)",Blake Seers <blake.seers@gmail.com>,2023-04-08T06:17:23.552Z,2080618,rOpenSci
pathviewr,NA,"Wrangle, Analyze, and Visualize Animal Movement Data",1.1.7,"Tools to import, clean, and visualize movement data,
particularly from motion capture systems such as Optitrack's
'Motive', the Straw Lab's 'Flydra', or from other sources. We provide
functions to remove artifacts, standardize tunnel position and tunnel
axes, select a region of interest, isolate specific trajectories, fill
gaps in trajectory data, and calculate 3D and per-axis velocity. For
experiments of visual guidance, we also provide functions that use
subject position to estimate perception of visual stimuli.",GPL-3,UTF-8,"https://github.com/ropensci/pathviewr/,
https://docs.ropensci.org/pathviewr/",https://ropensci.r-universe.dev,"Vikram B. Baliga [aut, cre] (<https://orcid.org/0000-0002-9367-8974>),
Melissa S. Armstrong [aut] (<https://orcid.org/0000-0002-3059-0094>),
Eric R. Press [aut] (<https://orcid.org/0000-0002-1944-3755>),
Anne-Sophie Bonnet-Lebrun [rev],
Marco Sciaini [rev]",Vikram B. Baliga <vbaliga87@gmail.com>,2023-04-07T06:57:46.888Z,4065681,rOpenSci
geojsonio,NA,Convert Data from and to 'GeoJSON' or 'TopoJSON',0.11.0.9000,"Convert data to 'GeoJSON' or 'TopoJSON' from various R
classes, including vectors, lists, data frames, shape files, and
spatial classes.  'geojsonio' does not aim to replace packages like
'sp', 'rgdal', 'rgeos', but rather aims to be a high level client to
simplify conversions of data from and to 'GeoJSON' and 'TopoJSON'.",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/geojsonio,
https://docs.ropensci.org/geojsonio/",https://ropensci.r-universe.dev,"Scott Chamberlain [aut],
Andy Teucher [aut],
Michael Mahoney [aut, cre] (<https://orcid.org/0000-0003-2402-304X>)",Michael Mahoney <mike.mahoney.218@gmail.com>,2023-04-07T06:51:51.540Z,1051001,rOpenSci
srr,NA,'rOpenSci' Review Roclets,0.0.1.191,"Companion package to 'rOpenSci' statistical software review
project.",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/srr/,
https://github.com/ropensci-review-tools/srr",https://ropensci.r-universe.dev,"Mark Padgham [aut, cre] (<https://orcid.org/0000-0003-2172-5265>)",Mark Padgham <mark@ropensci.org>,2023-04-07T06:41:46.195Z,157418,rOpenSci
parzer,Package,Parse Messy Geographic Coordinates,0.4.1.9001,"Parse messy geographic coordinates from various character formats
to decimal degree numeric values. Parse coordinates into
their parts (degree, minutes, seconds); calculate hemisphere
from coordinates; pull out individually degrees,
minutes, or seconds; add and subtract degrees, minutes,
and seconds. C++ code herein originally inspired from code
written by Jeffrey D. Bogan, but then completely re-written.",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/parzer (devel)
https://docs.ropensci.org/parzer/ (docs)",https://ropensci.r-universe.dev,"Scott Chamberlain [aut] (<https://orcid.org/0000-0003-1444-9135>),
Alban Sagouis [aut, cre] (<https://orcid.org/0000-0002-3827-1063>),
Alec L. Robitaille [ctb],
Maëlle Salmon [ctb] (<https://orcid.org/0000-0002-2815-0399>),
Hiroaki Yutani [ctb],
Jeffrey Bogan [ctb] (C++ code originally from Jeffrey Bogan, but
completely re-written),
Julien Brun [rev] (Julien Brun reviewed the package, see
https://github.com/ropensci/onboarding/issues/341),
Maria Munafó [rev] (Maria Munafó reviewed the package, see
https://github.com/ropensci/onboarding/issues/341),
rOpenSci [fnd] (https://ropensci.org)",Alban Sagouis <sagouis@pm.me>,2023-04-07T06:39:55.704Z,134721,rOpenSci
EndoMineR,NA,Functions to mine endoscopic and associated pathology datasets,2.0.1.9000,"This script comprises the functions that are used to clean up endoscopic 
reports and pathology reports as well as many of the scripts used for analysis.
The scripts assume the endoscopy and histopathology data set is merged already but it can
also be used of course with the unmerged datasets.",GPL-3,UTF-8,"https://docs.ropensci.org/EndoMineR,
https://github.com/ropensci/EndoMineR",https://ropensci.r-universe.dev,"Sebastian Zeki [aut, cre]",Sebastian Zeki <sebastiz@hotmail.com>,2023-04-09T05:19:11.916Z,3716741,rOpenSci
rnaturalearthdata,NA,World Vector Map Data from Natural Earth Used in 'rnaturalearth',0.2.1,Vector map data from <http://www.naturalearthdata.com/>. Access functions are provided in the accompanying package 'rnaturalearth'.,CC0,NA,"https://docs.ropensci.org/rnaturalearthdata,
https://github.com/ropensci/rnaturalearthdata",https://ropensci.r-universe.dev,"Andy South [aut, cre] (<https://orcid.org/0000-0003-4051-6135>),
Schramm Michael [aut],
Philippe Massicotte [aut] (<https://orcid.org/0000-0002-5919-4116>)",Andy South <southandy@gmail.com>,2023-04-05T07:34:15.269Z,3660767,rOpenSci
smapr,Package,"Acquisition and Processing of NASA Soil Moisture Active-Passive
(SMAP) Data",0.2.1,"Facilitates programmatic access to NASA Soil Moisture Active
Passive (SMAP) data with R. It includes functions to search for, acquire,
and extract SMAP data.",GPL-3,UTF-8,"https://docs.ropensci.org/smapr, https://github.com/ropensci/smapr",https://ropensci.r-universe.dev,"Maxwell Joseph [aut, cre],
Matthew Oakley [aut],
Zachary Schira [aut]",Maxwell Joseph <maxwell.b.joseph@colorado.edu>,2023-04-05T07:40:43.808Z,506118,rOpenSci
fingertipsR,Package,Fingertips Data for Public Health,1.0.10.9001,Fingertips (<http://fingertips.phe.org.uk/>) contains data for many indicators of public health in England. The underlying data is now more easily accessible by making use of the API.,GPL-3,UTF-8,"https://fingertips.phe.org.uk,
https://github.com/ropensci/fingertipsR,
https://docs.ropensci.org/fingertipsR/",https://ropensci.r-universe.dev,"Sebastian Fox [aut, cre],
Julian Flowers [aut, ctb],
Simon Thelwall [ctb] (<https://orcid.org/0000-0002-0434-2724>),
Duncan Garmonsway [ctb],
Carl Ganz [ctb],
David Whiting [ctb],
Luke Bradley [ctb],
Samuel Cutler [ctb],
Crown Copyright 2020 [cph]",Sebastian Fox <sebastian.fox@dhsc.gov.uk>,2023-04-05T07:39:34.057Z,334223,rOpenSci
excluder,NA,Checks for Exclusion Criteria in Online Data,0.5.0,"Data that are collected through online sources such as Mechanical 
Turk may require excluding rows because of IP address duplication,
geolocation, or completion duration. This package facilitates
exclusion of these data for Qualtrics datasets.",GPL (>= 3),UTF-8,"https://docs.ropensci.org/excluder/,
https://github.com/ropensci/excluder/",https://ropensci.r-universe.dev,"Jeffrey R. Stevens [aut, cre, cph]
(<https://orcid.org/0000-0003-2375-1360>),
Joseph O'Brien [rev] (<https://orcid.org/0000-0001-9851-5077>),
Julia Silge [rev] (<https://orcid.org/0000-0002-3671-836X>)",Jeffrey R. Stevens <jeffrey.r.stevens@protonmail.com>,2023-04-05T05:13:30.330Z,328511,rOpenSci
c14bazAAR,NA,Download and Prepare C14 Dates from Different Source Databases,3.4.1,"Query different C14 date databases and apply basic data cleaning, merging and calibration steps. Currently available databases: 14cpalaeolithic, 14sea, adrac, agrichange, aida, austarch, bda, calpal, caribbean, context, eubar, euroevol, irdd, jomon, katsianis, kiteeastafrica, medafricarbon, mesorad, nerd, p3k14c, pacea, palmisano, radon, radonb, rxpand, sard.",GPL-2 | file LICENSE,UTF-8,"https://docs.ropensci.org/c14bazAAR,
https://github.com/ropensci/c14bazAAR",https://ropensci.r-universe.dev,"Clemens Schmid [aut, cre, cph]
(<https://orcid.org/0000-0003-3448-5715>),
Dirk Seidensticker [aut] (<https://orcid.org/0000-0002-8155-7702>),
Daniel Knitter [aut] (<https://orcid.org/0000-0003-3014-4497>),
Martin Hinz [aut] (<https://orcid.org/0000-0002-9904-6548>),
David Matzig [aut] (<https://orcid.org/0000-0001-7349-5401>),
Wolfgang Hamer [aut] (<https://orcid.org/0000-0002-5943-5020>),
Kay Schmütz [aut],
Thomas Huet [ctb] (<https://orcid.org/0000-0002-1112-6122>),
Nils Mueller-Scheessel [ctb] (<https://orcid.org/0000-0001-7992-8722>),
Joe Roe [ctb] (<https://orcid.org/0000-0002-1011-1244>),
Ben Marwick [rev] (<https://orcid.org/0000-0001-7879-4531>),
Enrico R. Crema [rev] (<https://orcid.org/0000-0001-6727-5138>)",Clemens Schmid <clemens@nevrome.de>,2023-04-04T06:12:58.962Z,1150458,rOpenSci
wdman,Package,'Webdriver'/'Selenium' Binary Manager,0.2.6,"There are a number of binary files associated with the
'Webdriver'/'Selenium' project. This package provides functions to download
these binaries and to manage processes involving them.",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/wdman/,
https://github.com/ropensci/wdman",https://ropensci.r-universe.dev,"John Harrison [aut] (original author),
Ju Yeong Kim [cre] (rOpenSci maintainer)",Ju Yeong Kim <jkim2345@fredhutch.org>,2023-04-01T06:46:43.217Z,121248,rOpenSci
treeio,NA,"Base Classes and Functions for Phylogenetic Tree Input and
Output",1.23.1,'treeio' is an R package to make it easier to import and store phylogenetic tree with associated data; and to link external data from different sources to phylogeny. It also supports exporting phylogenetic tree with heterogeneous associated data to a single tree file and can be served as a platform for merging tree with associated data and converting file formats.,Artistic-2.0,UTF-8,"https://github.com/YuLab-SMU/treeio (devel),
https://docs.ropensci.org/treeio/ (docs),
https://www.amazon.com/Integration-Manipulation-Visualization-Phylogenetic-Computational-ebook/dp/B0B5NLZR1Z/
(book), https://doi.org/10.1093/molbev/msz240 (paper)",https://ropensci.r-universe.dev,"Guangchuang Yu [aut, cre] (<https://orcid.org/0000-0002-6485-8781>),
Tommy Tsan-Yuk Lam [ctb, ths],
Shuangbin Xu [ctb] (<https://orcid.org/0000-0003-3513-5362>),
Bradley Jones [ctb],
Casey Dunn [ctb],
Tyler Bradley [ctb],
Konstantinos Geles [ctb]",Guangchuang Yu <guangchuangyu@gmail.com>,2023-04-03T07:37:47.913Z,829453,rOpenSci
webmockr,NA,Stubbing and Setting Expectations on 'HTTP' Requests,0.9.0,"Stubbing and setting expectations on 'HTTP' requests.
Includes tools for stubbing 'HTTP' requests, including expected
request conditions and response conditions. Match on
'HTTP' method, query parameters, request body, headers and
more. Can be used for unit tests or outside of a testing
context.",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/webmockr (devel)
https://books.ropensci.org/http-testing/ (user manual)
https://docs.ropensci.org/webmockr/ (documentation)",https://ropensci.r-universe.dev,"Scott Chamberlain [aut, cre] (<https://orcid.org/0000-0003-1444-9135>),
Aaron Wolen [ctb] (<https://orcid.org/0000-0003-2542-2202>),
rOpenSci [fnd] (https://ropensci.org)",Scott Chamberlain <myrmecocystus+r@gmail.com>,2023-03-30T05:07:56.875Z,297919,rOpenSci
genbankr,NA,Parsing GenBank files into semantically useful objects,1.27.1,Reads Genbank files.,Artistic-2.0,NA,NA,https://ropensci.r-universe.dev,"Gabriel Becker [aut, cre],
Michael Lawrence [aut]",Gabriel Becker <becker.gabriel@gene.com>,2023-03-29T07:09:47.705Z,487632,rOpenSci
GSODR,Package,Global Surface Summary of the Day ('GSOD') Weather Data Client,3.1.8.9000,"Provides automated downloading, parsing, cleaning, unit conversion
and formatting of Global Surface Summary of the Day ('GSOD') weather data
from the from the USA National Centers for Environmental Information
('NCEI').  Units are converted from from United States Customary System
('USCS') units to International System of Units ('SI').  Stations may be
individually checked for number of missing days defined by the user, where
stations with too many missing observations are omitted.  Only stations with
valid reported latitude and longitude values are permitted in the final
data.  Additional useful elements, saturation vapour pressure ('es'), actual
vapour pressure ('ea') and relative humidity ('RH') are calculated from the
original data using the improved August-Roche-Magnus approximation (Alduchov
& Eskridge 1996) and included in the final data set.  The resulting metadata
include station identification information, country, state, latitude,
longitude, elevation, weather observations and associated flags.  For
information on the 'GSOD' data from 'NCEI', please see the 'GSOD'
'readme.txt' file available from,
<https://www1.ncdc.noaa.gov/pub/data/gsod/readme.txt>.",MIT + file LICENSE,UTF-8,https://docs.ropensci.org/GSODR/,https://ropensci.r-universe.dev,"Adam H. Sparks [aut, cre] (<https://orcid.org/0000-0002-0061-8359>),
Tomislav Hengl [aut] (<https://orcid.org/0000-0002-9921-5129>),
Andrew Nelson [aut] (<https://orcid.org/0000-0002-7249-3778>),
Hugh Parsonage [cph, ctb] (<https://orcid.org/0000-0003-4055-0835>),
Taras Kaduk [ctb] (Suggestion for handling bulk station downloads more
efficiently),
Gwenael Giboire [ctb] (Several bug reports in early versions and
testing feedback),
Łukasz Pawlik [ctb] (Reported bug in windspeed conversion calculation),
Ross Darnell [ctb] (Reported bug in 'Windows OS' versions causing
'GSOD' data untarring to fail,
<https://orcid.org/0000-0002-7973-6322>),
Tyler Widdison [ctb] (Reported bug where `nearest_stations()` did not
return stations in order of nearest to farthest),
Western Australia Agriculture Authority (WAAA) [cph] (Supported the
development of 'GSODR' through Adam H. Sparks's time.)",Adam H. Sparks <adamhsparks@gmail.com>,2023-03-28T06:04:54.588Z,4513308,rOpenSci
mctq,NA,Tools to Process the Munich ChronoType Questionnaire (MCTQ),0.3.2.9000,"A complete toolkit to process the Munich ChronoType 
Questionnaire (MCTQ) for its three versions (standard, micro, and shift).
MCTQ is a quantitative and validated tool to assess chronotypes using
peoples' sleep behavior, originally presented by Till Roenneberg, Anna
Wirz-Justice, and Martha Merrow (2003, <doi:10.1177/0748730402239679>).",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/mctq/, https://github.com/ropensci/mctq/",https://ropensci.r-universe.dev,"Daniel Vartanian [aut, cre, ccp, cph]
(<https://orcid.org/0000-0001-7782-759X>),
Ana Amelia Benedito-Silva [sad]
(<https://orcid.org/0000-0003-4976-2623>),
Mario Pedrazzoli [sad] (<https://orcid.org/0000-0002-5257-591X>),
Jonathan Keane [rev] (<https://orcid.org/0000-0001-7087-9776>),
Mario Andre Leocadio-Miguel [rev]
(<https://orcid.org/0000-0002-7248-3529>),
University of Sao Paulo (USP) [fnd]",Daniel Vartanian <danvartan@gmail.com>,2023-03-27T06:28:11.252Z,642101,rOpenSci
rsnps,NA,Get 'SNP' ('Single-Nucleotide' 'Polymorphism') Data on the Web,0.5.0.0,"A programmatic interface to various 'SNP' 'datasets'
on the web: 'OpenSNP' (<https://opensnp.org>), and 'NBCIs' 'dbSNP' database
(<https://www.ncbi.nlm.nih.gov/projects/SNP/>). Functions
are included for searching for 'NCBI'. For 'OpenSNP', functions are included
for getting 'SNPs', and data for 'genotypes', 'phenotypes', annotations,
and bulk downloads of data by user.",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/rsnps/,
https://github.com/ropensci/rsnps/",https://ropensci.r-universe.dev,"Julia Gustavsen [aut, cre] (<https://orcid.org/0000-0002-4764-4802>),
Sina Rüeger [aut] (<https://orcid.org/0000-0003-2848-9242>),
Scott Chamberlain [aut] (<https://orcid.org/0000-0003-1444-9135>),
Kevin Ushey [aut],
Hao Zhu [aut]",Julia Gustavsen <j.gustavsen@gmail.com>,2023-03-26T06:03:26.518Z,191838,rOpenSci
babeldown,NA,Helpers for Automatic Translation of Markdown-based Content,0.0.0.9000,"Provide workflows and guidance for automatic translation of Markdown-based R content
using DeepL API.",MIT + file LICENSE,UTF-8,https://github.com/ropensci-review-tools/babeldown,https://ropensci.r-universe.dev,"Maëlle Salmon [cre, aut] (<https://orcid.org/0000-0002-2815-0399>)",Maëlle Salmon <msmaellesalmon@gmail.com>,2023-03-28T07:36:02.589Z,98668,rOpenSci
phonfieldwork,Package,Linguistic Phonetic Fieldwork Tools,0.0.12,"There are a lot of different typical tasks that have to be solved during phonetic research and experiments. This includes creating a presentation that will contain all stimuli, renaming and concatenating multiple sound files recorded during a session, automatic annotation in 'Praat' TextGrids (this is one of the sound annotation standards provided by 'Praat' software, see Boersma & Weenink 2020 <https://www.fon.hum.uva.nl/praat/>), creating an html table with annotations and spectrograms, and converting multiple formats ('Praat' TextGrid, 'ELAN', 'EXMARaLDA', 'Audacity', subtitles '.srt', and 'FLEx' flextext). All of these tasks can be solved by a mixture of different tools (any programming language has programs for automatic renaming, and Praat contains scripts for concatenating and renaming files, etc.). 'phonfieldwork' provides a functionality that will make it easier to solve those tasks independently of any additional tools. You can also compare the functionality with other packages: 'rPraat' <https://CRAN.R-project.org/package=rPraat>, 'textgRid' <https://CRAN.R-project.org/package=textgRid>.",GPL (>= 2),UTF-8,"https://CRAN.R-project.org/package=phonfieldwork,
https://docs.ropensci.org/phonfieldwork/",https://ropensci.r-universe.dev,"George Moroz [aut, cre] (<https://orcid.org/0000-0003-1990-6083>),
Jonathan Keane [rev] (<https://orcid.org/0000-0001-7087-9776>),
Niko Partanen [rev] (<https://orcid.org/0000-0001-8584-3880>),
Valeria Buntiakova [ctb] (<https://orcid.org/0000-0003-2409-2651>)",George Moroz <agricolamz@gmail.com>,2023-02-22T03:25:03.380Z,2508449,rOpenSci
xslt,NA,Extensible Style-Sheet Language Transformations,1.4.4,"An extension for the 'xml2' package to transform XML documents
by applying an 'xslt' style-sheet.",GPL (>= 2),NA,"https://ropensci.r-universe.dev/xslt
https://docs.ropensci.org/xslt/",https://ropensci.r-universe.dev,"Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>)",Jeroen Ooms <jeroen@berkeley.edu>,2023-02-21T16:16:33.355Z,89187,rOpenSci
CoordinateCleaner,Package,"Automated Cleaning of Occurrence Records from Biological
Collections",2.0-20,"Automated flagging of common spatial and temporal errors in biological and paleontological collection data, for the use in conservation, ecology and paleontology. Includes automated tests to easily flag (and exclude) records assigned to country or province centroid, the open ocean, the headquarters of the Global Biodiversity Information Facility, urban areas or the location of biodiversity institutions (museums, zoos, botanical gardens, universities). Furthermore identifies per species outlier coordinates, zero coordinates, identical latitude/longitude and invalid coordinates. Also implements an algorithm to identify data sets with a significant proportion of rounded coordinates. Especially suited for large data sets. The reference for the methodology is: Zizka et al. (2019) <doi:10.1111/2041-210X.13152>.",GPL-3,UTF-8,https://ropensci.github.io/CoordinateCleaner/,https://ropensci.r-universe.dev,"Alexander Zizka [aut, cre],
Daniele Silvestro [ctb],
Tobias Andermann [ctb],
Josue Azevedo [ctb],
Camila Duarte Ritter [ctb],
Daniel Edler [ctb],
Harith Farooq [ctb],
Andrei Herdean [ctb],
Maria Ariza [ctb],
Ruud Scharn [ctb],
Sten Svanteson [ctb],
Niklas Wengstrom [ctb],
Vera Zizka [ctb],
Alexandre Antonelli [ctb],
Irene Steves [rev] (Irene reviewed the package for ropensci, see
<https://github.com/ropensci/onboarding/issues/210>),
Francisco Rodriguez-Sanchez [rev] (Francisco reviewed the package for
ropensci, see <https://github.com/ropensci/onboarding/issues/210>)",Alexander Zizka <zizka.alexander@gmail.com>,2023-03-22T06:28:59.904Z,2521805,rOpenSci
rcites,Package,R Interface to the Species+ Database,1.3.0.9000,A programmatic interface to the Species+ <https://speciesplus.net/> database via the Species+/CITES Checklist API <https://api.speciesplus.net/>.,MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/rcites/,
https://github.com/ropensci/rcites",https://ropensci.r-universe.dev,"Kevin Cazelles [aut, cre] (<https://orcid.org/0000-0001-6619-9874>),
Jonas Geschke [aut] (<https://orcid.org/0000-0002-5654-9313>),
Ignasi Bartomeus [aut] (<https://orcid.org/0000-0001-7893-4389>),
Jonathan Goldenberg [ctb],
Marie-Bé Leduc [ctb],
Yasmine Verzelen [ctb],
Noam Ross [rev],
Margaret Siple [rev]",Kevin Cazelles <kevin.cazelles@gmail.com>,2023-03-22T06:05:16.243Z,732284,rOpenSci
aorsf,NA,Accelerated Oblique Random Survival Forests,0.0.7.9000,"Fit, interpret, and make predictions with oblique random survival forests. Oblique decision trees are notoriously slow compared to their axis based counterparts, but 'aorsf' runs as fast or faster than axis-based decision tree algorithms for right-censored time-to-event outcomes. Methods to accelerate and interpret the oblique random survival forest are described in Jaeger et al., (2022) <arXiv:2208.01129>.",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/aorsf,
https://docs.ropensci.org/aorsf/",https://ropensci.r-universe.dev,"Byron Jaeger [aut, cre] (<https://orcid.org/0000-0001-7399-2299>),
Nicholas Pajewski [ctb],
Sawyer Welden [ctb],
Christopher Jackson [rev],
Marvin Wright [rev],
Lukas Burk [rev]",Byron Jaeger <bjaeger@wakehealth.edu>,2023-03-19T06:29:38.378Z,1488515,rOpenSci
terrainr,Package,Landscape Visualizations in R and 'Unity',0.7.4.9000,"Functions for the retrieval, manipulation, and visualization
of 'geospatial' data, with an aim towards producing '3D' landscape
visualizations in the 'Unity' '3D' rendering engine. Functions are
also provided for retrieving elevation data and base map tiles from
the 'USGS' National Map <https://apps.nationalmap.gov/services/>.",MIT + file LICENSE,UTF-8,"https://docs.ropensci.org/terrainr/,
https://github.com/ropensci/terrainr",https://ropensci.r-universe.dev,"Michael Mahoney [aut, cre] (<https://orcid.org/0000-0003-2402-304X>),
Mike Johnson [rev] (Mike reviewed the package (v. 0.2.1) for rOpenSci,
see <https://github.com/ropensci/software-review/issues/416>),
Sydney Foks [rev] (Sydney reviewed the package (v. 0.2.1) for rOpenSci,
see <https://github.com/ropensci/software-review/issues/416>)",Michael Mahoney <mike.mahoney.218@gmail.com>,2023-03-18T07:16:00.133Z,4601149,rOpenSci
yfR,NA,Downloads and Organizes Financial Data from Yahoo Finance,1.1.0,"Facilitates download of financial data from Yahoo Finance <https://finance.yahoo.com/>, 
a vast repository of stock price data across multiple financial exchanges. The package offers a local caching system
and support for parallel computation.",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/yfR, https://docs.ropensci.org/yfR/",https://ropensci.r-universe.dev,"Marcelo Perlin [aut, cre],
Nic Crane [rev] (Nic reviewed the package (v. 0.0.5) for rOpenSci, see
<https://github.com/ropensci/software-review/issues/523>),
Alexander Fischer [rev] (Alexander reviewed the package (v. 0.0.5) for
rOpenSci, see
<https://github.com/ropensci/software-review/issues/523>)",Marcelo Perlin <marceloperlin@gmail.com>,2023-03-27T06:07:44.760Z,431104,rOpenSci
rfishbase,NA,R Interface to 'FishBase',4.1.1,"A programmatic interface to 'FishBase', re-written
based on an accompanying 'RESTful' API. Access tables describing over 30,000
species of fish, their biology, ecology, morphology, and more. This package also
supports experimental access to 'SeaLifeBase' data, which contains
nearly 200,000 species records for all types of aquatic life not covered by
'FishBase.'",CC0,UTF-8,"https://docs.ropensci.org/rfishbase/,
https://github.com/ropensci/rfishbase",https://ropensci.r-universe.dev,"Carl Boettiger [cre, aut] (<https://orcid.org/0000-0002-1642-628X>),
Scott Chamberlain [aut] (<https://orcid.org/0000-0003-1444-9135>),
Duncan Temple Lang [aut],
Peter Wainwright [aut],
Kevin Cazelles [ctb] (<https://orcid.org/0000-0001-6619-9874>)",Carl Boettiger <cboettig@gmail.com>,2023-03-17T15:16:41.832Z,778468,rOpenSci
postdoc,Package,Minimal and Uncluttered Package Documentation,1.2.1,"Generates simple and beautiful one-page HTML reference manuals 
with package documentation. Math rendering and syntax highlighting are done
server-side in R such that no JavaScript libraries are needed in the
browser, which makes the documentation portable and fast to load.",MIT + file LICENSE,UTF-8,"https://github.com/ropensci/postdoc,
https://docs.ropensci.org/postdoc/",https://ropensci.r-universe.dev,"Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>)",Jeroen Ooms <jeroen@berkeley.edu>,2023-03-26T06:01:01.672Z,80685,rOpenSci
